iter	Passed	Remaining
0	363	725846
1	568	567639
2	1031	68664033	1460	72872344	1683	67186655	1925	6399906	2283	650241
7	2634	656107
8	2902	642127
9	3205	637973
10	3442	622396
11	3732	618384
12	4323	660815
13	4839	686512
14	5055	669062
15	5305	657876
116	5398	62975717	5728	630818
18	6202	646663
19	6524	645884
20	6768	637861
21	6930	623106
222	6964	598602223	7118	58606824	7732	610880
25	8065	612350
26	8287	605634
27	8523	600275
28	8890	604221
29	9132	599681
30	9395	596784
31	9635	592582
332	9647	575032
33	9833	568595
34	10048	564152
35	10337	563975
36	10647	564911
37	10870	561281
38	11241	565222
39	11429	560048
40	11670	557621
41	11879	553810
42	12293	559490
43	12479	554756
44	12578	546473
45	12942	549768
46	13199	548478
47	13446	546806
48	13733	546813
49	13938	543589
50	14280	545723
51	14549	545063
52	14742	541565
53	14991	540234
54	15197	537453
55	15331	532228
56	15668	534091
57	15866	531243
58	16011	526763
59	16358	528933
60	16546	525959
61	16918	528846
62	17134	526815
63	17405	526519
64	17595	523799
65	17755	520290
66	17934	517437
67	18190	516827
68	18435	515934
69	18882	520611
70	19056	517754
71	19343	517966
72	19561	516366
73	19702	512799
74	20015	513732
75	20262	512959
76	20723	517554
77	21237	523302
78	21385	520007
79	21643	519442
80	21817	516887
81	21918	512690
82	22138	511329
83	22399	510914
84	22518	507319
85	22622	503481
86	22749	500218
87	23032	500442
88	23268	499613
89	23546	499715
90	23971	502870
91	24131	500469
92	24312	498533
93	24591	498631
94	24827	497865
95	25107	497957
96	25207	494530
97	25311	491251
98	25407	487865
99	25535	485166
100	25634	481977
101	25737	478913
102	25833	475793
103	26075	475375
104	26393	476333
105	26624	475728
106	26765	473516
107	26864	470626
108	26922	467067
109	27016	464196
110	27105	461287
111	27210	458693
112	27576	460507
113	27882	461281
114	28039	459609
115	28225	458419
116	28437	457673
117	28653	457003
118	28930	457303
119	29203	457519
120	29399	456547
121	29645	456343
122	29895	456211
123	30116	455632
124	30227	453416
125	30356	451495
126	30653	452073
127	30925	452289
